#Z A e:energy e_err:energyError sigma:reactionCrossSection sig_err:sigmaError type:reactionChannel（1=(g,n),2=(g,2n),3=(g,abs),4=(g,xn)）	--	--	--
92	238	6.58	1
92	238	6.67	1
92	238	6.76	1
92	238	6.85	1
92	238	6.95	1
92	238	7.03	1
92	238	7.09	1
92	238	7.1	1
92	238	7.13	1
92	238	7.18	1
92	238	7.19	1
92	238	7.25	1
92	238	7.33	1
92	238	7.39	1
92	238	7.46	1
92	238	7.53	1
92	238	7.61	1
92	238	7.67	1
92	238	7.73	1
92	238	7.79	1
92	238	7.78	1
92	238	8.05	1
92	238	8.31	1
92	238	8.59	1
92	238	8.85	1
92	238	9.13	1
92	238	9.42	1
92	238	9.67	1
92	238	9.98	1
92	238	10.2	1
92	238	10.5	1
92	238	10.7	1
92	238	11	1
92	238	11.3	1
92	238	11.6	1
92	238	11.8	1
92	238	12.1	1
92	238	12.3	1
92	238	12.6	1
92	238	12.9	1
92	238	13.2	1
92	238	13.4	1
92	238	13.7	1
92	238	14	1
92	238	14.2	1
92	238	14.5	1
92	238	14.8	1
92	238	15.1	1
92	238	15.3	1
92	238	15.6	1
92	238	15.9	1
92	238	16.1	1
92	238	16.4	1
92	238	16.7	1
92	238	16.9	1
92	238	17.2	1
92	238	17.5	1
92	238	17.7	1
92	238	18	1
92	238	6.07	1
92	238	6.42	1
92	238	6.73	1
92	238	6.83	1
92	238	7.23	1
92	238	7.38	1
92	238	7.64	1
92	238	7.73	1
92	238	7.88	1
92	238	9	1
92	238	6.07	1
92	238	6.42	1
92	238	6.73	1
92	238	6.83	1
92	238	7.23	1
92	238	7.38	1
92	238	7.64	1
92	238	7.73	1
92	238	7.88	1
92	238	9	1
92	238	5.6219	1
92	238	5.7095	1
92	238	5.8092	1
92	238	5.9024	1
92	238	6.0199	1
92	238	6.1256	1
92	238	6.229	1
92	238	6.3473	1
92	238	6.4638	1
92	238	6.5751	1
92	238	6.6692	1
92	238	6.7821	1
92	238	6.8803	1
92	238	7.0006	1
92	238	7.1121	1
92	238	7.2155	1
92	238	7.326	1
92	238	7.4346	1
92	238	7.545	1
92	238	7.6654	1
92	238	7.7654	1
92	238	7.8654	1
92	238	7.963	1
